angle_leye_lear,angle_reye_rear,angle_leye_nose,angle_reye_nose,angle_lear_nose,angle_rear_nose,d_leye_lear,d_leye_reye,d_leye_nose,d_reye_rear,d_reye_nose,d_nose_neck,neck_x,lear,rear,orientation
-155.939,-23.4064,-36.5959,-153.207,4.48881,179.856,2.58768,2.68216,0.672405,1.58383,1.20377,-0.656654,513.935,1,1,center
-155.981,-21.1294,-36.9044,-152.959,4.3138,179.91,2.5587,2.64991,0.669973,1.92672,1.19418,-0.648472,513.935,1,1,center
-150.722,-36.9303,-50.8156,-135.104,0.387086,179.802,2.80103,2.66457,1.07644,2.62335,1.87059,-0.648316,515.148,1,1,center
-146.165,-44.6487,-45.0583,-129.841,4.16535,175.341,3.09258,2.65851,1.32143,2.59068,1.60165,-0.66645,515.144,1,1,center
-142.196,-44.5566,-55.896,-134.889,4.45455,175.707,3.45384,2.67144,1.38205,2.63608,1.90977,-0.65727,515.152,1,1,center
-142.132,-44.616,-55.8823,-134.887,4.49564,175.65,3.4541,2.67233,1.38307,2.63946,1.90909,-0.657313,515.158,1,1,center
-143.109,-41.137,-51.2368,-134.958,4.77429,175.929,2.66295,2.6649,1.0948,2.9645,1.88427,-0.667197,515.148,1,1,center
-143.127,-36.9965,-51.2256,-139.833,4.77686,175.993,2.66011,2.64144,1.09261,2.64241,1.61335,-0.667906,515.156,1,1,center
-155.685,-32.1526,-44.785,-140.247,0.293471,179.835,2.56196,2.66861,0.846761,2.34803,1.60024,-0.647779,515.162,1,1,center
-148.246,-26.9619,-44.8249,-149.982,4.63764,179.827,2.31033,3.11819,0.831002,2.0803,1.67099,-0.636089,515.205,1,1,center
-157.904,-35.2379,-44.8398,-150.036,0.213355,175.984,2.96336,3.07837,0.821774,1.91456,1.64675,-0.627414,515.264,1,1,center
-153.315,-32.1726,-50.7106,-150.124,0.157598,176.174,3.14398,3.09838,1.04226,2.22571,1.62978,-0.618112,516.462,1,1,center
-148.976,-37.0715,-49.6974,-144.612,0.194193,175.924,3.30125,3.54505,1.48229,2.43029,1.78412,-0.600076,516.487,1,1,center
-146.321,-32.3627,-44.767,-150.255,0.156181,175.926,2.79671,4.12415,1.7106,2.13121,1.54526,-0.587936,516.503,1,1,center
-146.404,-32.2673,-44.8401,-150.276,0.0274606,175.994,2.79095,4.12834,1.71447,2.12768,1.54697,-0.587741,516.531,1,1,center
